c_digo_dane_departamento,departamento,c_digo_dane_municipio,municipio,tipo_municipio_isla_rea_no,categoria_municipio,comisarias_ley_2126_100_000,existencia_de_comisarias,nombre_comisaria,direcci_n_comisara,telefono_de_contacto,horario_de_atenci_n,longitud_de_ubicaci_n_de,latitud_de_ubicaci_n_de_la,coordenadas_de_ubicaci_n,fuente
15,BOYACA,15646,SAMACA,Municipio,6,1,1,COMISARÍA DE FAMILIA DE SAMACÁ BOYACÁ,CARRERA 6 # 4-53 PARQUE PRINCIPAL SAMACÁ,3202777454,Lunes a Viernes de8:00 AM A 1:00 PM Y DE 2:00PM A 5:30 pm,-73485778,5491639,"5°29'29.9""N 73°29'08.8""W",Directorio Comisarias Ley 2126
15,BOYACA,15660,SAN EDUARDO,Municipio,6,1,1,COMISARÍA DE FAMILIA DE SAN EDUARDO BOYACÁ,Calle 4 # 3-61,3112457185,Lunes a Viernes de  8 a 12 am  y 2 a 6:15 pm,-73077306,5223094,"5°13'23.1""N 73°04'38.3""W",Directorio Comisarias Ley 2126
15,BOYACA,15664,SAN JOSE DE PARE,Municipio,6,1,1,COMISARÍA DE FAMILIA DE SAN JOSÉ DE PARE BOYACÁ,Carrera 3 # 1-63 centro Palacio municipal,321-9656926,Lunes a Viernes de   7 AM -5 P.M,-73547085,6018010,"6°01'04.8""N 73°32'49.5""W",Directorio Comisarias Ley 2126
15,BOYACA,15667,SAN LUIS DE GACENO,Municipio,6,1,1,COMISARÍA DE FAMILIA DE SAN LUIS DE GACENO BOYACÁ,"Carrera 3, frente al Hospital San Francisco en San Luis de Gaceno-Boyacá",3103353457,Lunes a Jueves de 08:00 a.m. a 12:00 a.m y 2:00 p.m. a 06:00 p.m. y el dia Viernes desde las 07:00 a.m. hasta las 04:00 p.m.,-73170046,4819777,"4°49'11.2""N 73°10'12.2""W",Directorio Comisarias Ley 2126
15,BOYACA,15673,SAN MATEO,Municipio,6,1,1,COMISARÍA DE FAMILIA DE SAN MATEO BOYACÁ,CARRERA 4 # 3-31 segundo piso,3222838471,"Lunes,martes, jueves ,viernes de 8 a.m a 12 a.m y de 2 p.m a 6 p.m  y miercoles de 7 a.m a 2 p.m",-72556332,6401660,"6°24'06.0""N 72°33'22.8""W",Directorio Comisarias Ley 2126
15,BOYACA,15676,SAN MIGUEL DE SEMA,Municipio,6,1,1,COMISARÍA DE FAMILIA DE SAN MIGUEL DE SEMA BOYACÁ,Calle 7 # 6 - 42 primer piso,3213464017,Lunes a Viernes de  08 am a 1:00 pm - 02:00 pm a 05:00 pm,-73721564,5518308,"5°31'05.9""N 73°43'17.6""W",Directorio Comisarias Ley 2126
15,BOYACA,15681,SAN PABLO DE BORBUR,Municipio,6,1,1,COMISARÍA DE FAMILIA DE SAN PABLO DE BORBUR BOYACÁ,CARRERA 3 # 2-06,3205760862,Lunes a Viernes de  8-12:30 y de 2:00 pm- 6:00 pm,-74066722,5658778,"5°39'31.6""N 74°04'00.2""W",Directorio Comisarias Ley 2126
15,BOYACA,15686,SANTANA,Municipio,6,1,1,COMISARÍA DE FAMILIA DE SANTANA BOYACÁ,Calle 4 # 4-04 piso 2,3143000679,Lunes a Jueves de 8:00 am a 12: 00 M y de 1:30 P.M. a 6:00 PM y los Viernes de 7:00 A.M. a 1:00 PM. en jonada continua,-73482472,6057889,"6°03'28.4""N 73°28'56.9""W",Directorio Comisarias Ley 2126
15,BOYACA,15690,SANTA MARIA,Municipio,6,1,1,COMISARÍA DE FAMILIA DE SANTA MARÍA BOYACÁ,Calle 3 # 3-53 Palacio municipal,3212092213,24 horas Lunes a Domingo,-73262475,4861294,"4°51'40.7""N 73°15'44.9""W",Directorio Comisarias Ley 2126
15,BOYACA,15693,SANTA ROSA DE VITERBO,Municipio,6,1,1,COMISARÍA DE FAMILIA ÚNICA DE SANTA ROSA DE VITERBO BOYACÁ,Carrera 5 # 8-67,3133720352,Lunes a Viernes de  8 a 12 m y 2 a 6 pm,-72984243,5870994,"5°52'15.6""N 72°59'03.3""W",Directorio Comisarias Ley 2126
